WEIGHT,22
STEPS,12
mb per step,500
CYCLES,3
,
cycle,dir,step,pressure,d0,d1,d2,d3,d4,d5,t0,t1,t2,t3,t4,t5
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2,1000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,3,1500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,4,2000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,5,2500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,6,3000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,7,3500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,8,4000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,9,4500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,10,5000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,11,5500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,12,6000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,6000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,5500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2,5000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,3,4500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,4,4000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,5,3500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,6,3000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,7,2500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,8,2000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,9,1500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,10,1000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,11,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,2,1000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,3,1500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,4,2000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,5,2500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,6,3000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,7,3500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,8,4000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,9,4500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,10,5000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,11,5500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,12,6000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,6000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,5500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,5000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,4500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,4000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,3500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,3000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,2500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,2000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9,1500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,10,1000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,11,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,1000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,3,1500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,4,2000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,5,2500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,6,3000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,7,3500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,8,4000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,9,4500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,10,5000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,11,5500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,12,6000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,6000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,5500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,5000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,3,4500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,4,4000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,5,3500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,6,3000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,7,2500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,8,2000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,9,1500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,10,1000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,11,500,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
